word,part_of_speech,translate
naval,adj.,海軍的
passenger,n.,乘客
compromise,v.,危及;妥協;洩露(祕密等)
curtain,v.,"(用簾子)遮掉,隔開"
embarrassment,n.,使人為難的人(或事物);窘;難堪
knuckle,n.,(鉸鏈的)關節;肘;蹄;關節
sheet,n.,一張(紙);床單
intrude,v.,侵入;闖入
cinema,n.,電影;電影業;電影院
nationalism,n.,國家主義;民族主義
cargo,n.,(船、飛機、車輛裝載的)貨物
console,n.,操縱臺
damage,v.,損害
scoop,v.,挖出;挖空;用勺舀
sparkle,n.,"火花;閃耀,閃光"
corps,n.,(從事特定工作的)團體;兵團;團;特種部隊;軍團;部隊
score,v.,得分
fleet,n.,機群;艦隊;車隊
auto,n.,汽車
goose,n.,鵝
rhythm,n.,節奏;韻律
explain,v.,解釋
basis,n.,基礎
hell,n.,"地獄,冥府"
battery,n.,電池
stink,n.,臭氣
oriental,n.,亞洲人;東方人
political,adj.,政治上的;政治的
supermarket,n.,超級市場
misery,n.,不幸;悲慘;痛苦;窮困
rapid,adj.,迅速的
stay,n.,"停止;停留,逗留;延後;持續力"
dairy,n.,牛奶及乳品業;牛奶店
moderate,adj.,"中等的,適度的"
revenge,n.,報仇;報復;復仇
practice,n.,練習
shove,n.,推;撞
appeal,n.,"呼籲,懇求"
reside,v.,居住;駐在
monotony,n.,千篇一律;單調
concert,n.,"音樂會,演奏會"
scrub,v.,揉;用力擦洗
unique,n.,獨一無二的人(或事物)
station,v.,"駐紮,部署,配置"
oyster,n.,沈默寡言的人;牡蠣
cow,n.,母牛
education,n.,教育
throughout,prep.,遍及
cola,n.,可樂
thoughtful,adj.,考慮周到的
element,n.,"要素,成分"
hostel,n.,旅舍
fly,v.,飛
however,adv.,"無論如何,不管怎樣"
fine,adv.,妙;很好地;精巧地;細微地
Friday,n.,星期五
novel,n.,小說
approximate,v.,大致估計;接近;近似
join,v.,加入
texture,v.,使...行成紋理
fairly,adv.,"公平地,公正地"
dip,n.,(價格的)下跌
magnitude,n.,大小;巨大;強度;規模;重大;重要性
site,v.,為...選址;設置
virtual,adj.,實質上的;虛擬的
steady,adv.,穩固地;穩定地
spaghetti,n.,義大利麵條
triple,v.,三倍於;使成三倍
emphasis,n.,"強調,重視,重點"
overturn,n.,"周轉,流通;翻轉,傾覆"
relative,n.,親戚
reject,v.,拒絕
colonial,n.,殖民地居民
endanger,v.,使遭到危險;危及;危害
bark,v.,狗叫
cellar,v.,把...藏入地窖(或酒窖)
best,v.,勝過;打敗
sell,v.,賣
test,n.,測驗;考試
threaten,v.,"威脅,恐嚇"
concerning,prep.,關於
creation,n.,創作;創立;創造
attack,n.,攻擊
dinosaur,n.,恐龍
out,prep.,通過...而出
object,n.,物件
perfect,v.,使完美;做完
appearance,n.,出現;外貌;顯露
inspection,n.,檢查;檢視;檢閱;視察
comfort,n.,"安逸,舒適"
top,n.,陀螺;頂部
sympathize,v.,同情;憐憫
mistress,n.,"女主人,主婦"
suitcase,n.,小型旅行箱;手提箱
cholesterol,n.,膽固醇
scarecrow,n.,威嚇物;稻草人
stitch,n.,(縫合傷口的)針線;一針;針法
bacteria,n.,細菌
cord,n.,"細繩,粗線,索"
undergraduate,n.,大學生;大學肄業生
along,adv.,一起;來到;去到;向前;帶著
pack,n.,一小包
coast,n.,海岸
plentiful,adj.,"多的;豐富的,充足的"
problem,n.,問題
whine,n.,哀鳴聲;牢騷
drama,n.,戲劇
film,n.,影片;膠捲
black,adj.,黑色的
troop,n.,"軍隊;軍隊,部隊"
overall,adj.,"總的,全部的,全面的"
clinic,n.,"診所,門診所"
snort,v.,噴鼻息;輕蔑(或憤怒)地哼
glisten,v.,閃亮;閃耀
necklace,n.,項鍊
trap,n.,圈套;陷阱
yes,adv.,是
religion,n.,宗教;宗教信仰
husband,n.,丈夫
poll,v.,對...進行民意測驗
foggy,adj.,有霧的
obstacle,n.,妨礙;障礙(物)
speed,v.,促進;加速
foam,v.,起泡沫
elbow,n.,手肘;肘部
anniversary,n.,周年紀念日;週年紀念日
radical,adj.,基本的;徹底的
harmony,n.,協調;和諧
down,v.,擊倒
grin,n.,露齒的笑
conserve,n.,"果醬;糖漬食品,蜜餞"
shadow,v.,使變暗;使陰鬱
genuine,adj.,真正的;真的;真誠的;純正的;非偽造的
serene,adj.,安詳的;寧靜的
sane,adj.,神志正常的;頭腦清楚的
sea,n.,海
April,n.,四月
want,n.,匱乏;必需品;缺乏;需要的東西
military,n.,軍隊
memorable,adj.,值得懷念的;難忘的
forty,n.,四十
pleasure,n.,愉快
ivory,adj.,乳白色的
dread,n.,"恐懼;畏懼,恐怖"
disregard,n.,不理;漠視;輕視
peaceful,adj.,和平的;寧靜的
cling,v.,依附;墨守;緊貼;黏著
lullaby,v.,唱搖籃曲使入睡
above,adv.,在上文;在上面;更高
cooperate,v.,"(事物)配合;合作,協作"
precise,adj.,一絲不苟的;準確的;精確的
pick,n.,"收穫(量);精華,最好的部分"
parliament,n.,"議會,國會"
crooked,adj.,不正派的;彎曲的;欺詐的
kangaroo,n.,袋鼠
modernize,v.,使現代化
careful,adj.,小心的
videotape,n.,錄像帶;錄影帶
paint,n.,"油漆,塗料"
panda,n.,貓熊
expiration,n.,吐氣;失效;期滿
orchestra,n.,管弦樂隊
legitimate,adj.,合法婚姻所生的;合法的;合理的
eve,n.,前夕
scar,n.,(物品等的)損傷痕;疤
sew,v.,縫補;縫製
horrible,adj.,可怕的
profound,adj.,深切的;深刻的;深奧的;深度的;重大的
transmission,n.,傳播;傳染;傳送;播送;變速器
dilemma,n.,困境;進退兩難
underneath,n.,下面;底部
message,n.,消息;音信
pastime,n.,娛樂;消遣
storm,v.,猛攻
walk,n.,人行道;四壞球保送上一壘;散步
spade,n.,鍬;鏟
consequence,n.,"結果,後果"
province,n.,"省,州"
middle,n.,中央
core,n.,果核;精髓;要義
norm,n.,基準;定額;規範
toy,v.,"玩弄,戲耍;調情,調戲"
dash,n.,"急衝,奔跑;破折號"
treasure,n.,財寶
sculpture,n.,"雕;雕刻品,雕塑品"
except,v.,反對;把...除外
highway,n.,公路;幹道
tragic,adj.,"悲慘的,不幸的"
junk,n.,廢棄的舊物
average,adj.,平均的
revelation,n.,天啟;揭示;顯示
terminal,adj.,末期的;末端的;盡頭;終端的;終點的
obtain,v.,"得到,獲得"
stepmother,n.,"繼母,後母"
abdomen,n.,下腹
please,v.,取悅;請
compact,n.,小型轎車;連鏡小粉盒
congratulate,v.,恭禧;祝賀
instruction,n.,"教學,講授"
hard,adv.,牢固地;猛烈地;辛苦地
swing,v.,揮動;揮舞;搖擺
warm,adj.,溫暖的
smash,v.,殺球;瓦解;粉碎
rumor,v.,傳說;謠傳
average,v.,使平衡;平均為;算出...的平均數
mean,v.,意指
paw,n.,爪子;腳爪
peck,n.,啄;啄痕;輕吻
jam,n.,擁塞;果醬
become,v.,變成
cable,n.,有線電視;纜索
thank,v.,感謝
commonplace,adj.,平凡的;普通的
subsequent,adj.,後續的;接著發生的;隨後的
crumble,n.,酥皮點心(水果派)
father,v.,做...的父親;創始;創立
sovereign,n.,主權國家;元首;君主
either,adv.,也
O.K.,adj.,不錯的;可以的;很好的
jingle,v.,發出叮噹聲
cue,v.,給...暗示
lifeguard,n.,救生員
propose,v.,提議;求婚
downwards,adv.,向下
transform,v.,使改變;使轉化
reason,v.,"推論,推理"
wealth,n.,大量;財富
brunch,n.,早午餐
fossil,adj.,化石的;守舊的
twinkle,v.,(星等)閃爍;閃耀
fair,adj.,公平的;美好的
figure,v.,估計;描繪
fortune,n.,"巨款;財產,財富"
needle,n.,針
politics,n.,"黨派關係,手腕,權術"
ministry,n.,(常大寫)(政府的)部
nor,conj.,亦不
mop,v.,拖洗;擦去
ritual,n.,儀式;典禮;老規矩
rent,n.,"租金,租費"
prescribe,v.,指定;規定;開(藥方)
countryside,n.,"鄉間,農村"
wooden,adj.,僵硬的;木製的;笨拙的
trip,n.,旅行
vote,n.,"選舉,投票,表決"
bull,n.,公牛
along,prep.,沿著
brief,n.,概要;短而緊的內褲;簡報;訴書
handicap,v.,"妨礙,使不利"
glow,n.,光輝;灼熱
rabbit,n.,兔子
dominate,v.,"支配,統治,控制"
populate,v.,居住於;移民於
pair,v.,"成對,配對"
solution,n.,溶劑;解答
stool,n.,凳子;擱腳凳;解大便
envious,adj.,嫉妒的;羨慕的
counter,n.,櫃臺
dense,adj.,"密集的,稠密的"
bulb,n.,電燈泡
produce,n.,農產品
twist,v.,扭彎;扭轉
tentative,adj.,暫時性的;猶豫的;試驗性的
leather,n.,皮革
marine,adj.,海生的;海的;海軍陸戰隊的
beetle,n.,甲蟲
instrument,n.,儀器
pursuit,n.,"愛好;研究;追求;追趕;追蹤,追擊"
accommodation,n.,住宿;住處;方便;方便設施;適應
undergo,v.,接受(治療、檢查等);經歷
learn,v.,學習
innovation,n.,創新;新事物;革新
sentimental,adj.,多愁善感的;情感;情深的;感傷的
abortion,n.,墮胎
urgent,adj.,"緊急的,急迫的"
might,n.,"力量,威力"
jug,n.,壺;水罐;甕;監牢
onto,prep.,到...之上;向...之上
pass,n.,傳球動作;及格;山隘;護照;通行證
observer,n.,奉行者;觀察員
inward,adj.,"內心的;向內的;裡面的,內部的"
service,v.,"維修,保養"
escape,v.,逃脫;逃跑
barrel,n.,大桶
academic,adj.,學術的
stationery,n.,文具
liquor,n.,含酒精飲料;酒
import,n.,輸入(物);進口(品);進口商品
transistor,n.,電晶體
expose,v.,使暴露於
terrace,n.,大陽臺;梯田;露天階梯看臺
float,v.,浮
defect,n.,不足之處;瑕疵;缺陷;缺點
volleyball,n.,排球
vocation,n.,天職;工作;志業;職業;行業
critical,adj.,"緊要的,關鍵性的,危急的"
movable,adj.,"可動的,可移動的"
lime,n.,石灰;酸橙
creativity,n.,創造力
brooch,n.,別針;女用胸針(或領針);胸針
reaction,n.,"反應,感應"
puff,v.,一陣陣地吹;喘氣;用粉撲施粉
fashion,v.,把...塑造成
launch,v.,發射;開始
flesh,n.,"肉,肌肉"
lion,n.,獅子
leave,n.,休假;准假
knowledgeable,adj.,博學的;有見識的
body,n.,身體
crater,n.,巨大坑洞;火山口
upload,v.,[電腦]上載
stake,n.,危險;股本;賭金
report,n.,報告
maximum,adj.,最大限度的
vegetation,n.,植被;草木
proceed,v.,"開始,著手"
steward,n.,男服務員;管家
lecture,n.,冗長的訓話;授課;訓話
huge,adj.,巨大的
violet,n.,紫蘿蘭
radio,v.,用無線電傳送
settler,n.,殖民者;開拓者
grey,adj.,灰色的
misfortune,n.,不幸;惡運
indoors,adv.,"在室內,在屋裡"
chilly,adj.,冷颼颼的
basin,n.,盆地;臉盆
important,adj.,重要的
wizard,n.,奇才;巫師;男巫;高手
being,n.,存在;本質;生命;生存
promising,adj.,"有希望的,有前途的"
spell,v.,拼字
announce,v.,宣佈
impact,n.,"影響;衝擊,撞擊"
disco,n.,迪斯科音樂
dryer,n.,烘衣機
parlor,n.,客廳;接待室
vacant,adj.,(職位)空缺的;空白的
gift,n.,禮物
coral,adj.,珊瑚的;珊瑚色的
exotic,n.,隨音樂表演豔舞者
slide,n.,土崩;滑梯
acre,n.,英畝
preliminary,adj.,初步的;預備的
wholesome,adj.,強健的;有益健康的
trousers,n.,長褲
rank,v.,把...分等;把...評級
yet,adv.,但是;尚未
divine,adj.,"神授的,天賜的"
musician,n.,音樂家
wish,v.,祝福
telegram,n.,電報
pistol,n.,手槍
balloon,v.,乘氣球上升;像氣球般鼓起(或膨脹);激增
ivory,n.,象牙
indicate,v.,指出
alienate,v.,使疏遠;離間
famine,n.,饑荒
admire,v.,欣賞;欽佩
soldier,n.,軍人
counter,adj.,反對的;對立的;相反的
hen,n.,母雞
cavity,n.,(牙的)蛀洞;(身體的)腔;洞
party,v.,參加派對;開派對
longevity,n.,壽命;長壽
jeans,n.,牛仔褲
plant,n.,"工廠;植物,農作物"
shelter,v.,庇護;遮蔽
owe,v.,應給予;應該做;欠(債等)
refresh,v.,使得到補充;更新
handy,adj.,便利的;易於操作的;靈活的
blend,v.,使混和
ebb,n.,衰退;退潮
support,n.,支持
approach,n.,"方法,門徑;靠近"
swan,n.,天鵝
strive,v.,"努力,苦幹,奮鬥;反抗,鬥爭"
lawful,adj.,合法的
anyhow,adv.,"無論如何,總之"
snatch,n.,奪取;抓走
sanctuary,n.,庇護所;聖所;聖殿
legitimate,v.,使合法
technique,n.,技巧;技術
fashionable,adj.,時尚的
portion,n.,(一)部分
jelly,n.,果凍;果醬
dizzy,adj.,暈眩的
rose,n.,玫瑰
triumphant,adj.,勝利的;得意洋洋的
wealthy,adj.,富裕的;豐富的
gangster,n.,"歹徒,匪盜,流氓"
cloudy,adj.,多雲的;陰天的
round,v.,"兜圈子,環行;發胖;變圓"
tramp,v.,流浪;腳步沈重地行走;踐踏
apart,adv.,"分開地,相間隔地"
mock,n.,仿製品;嘲弄;模擬考;笑柄
momentum,n.,動力;動量;氣勢
little,n.,沒有多少;短時間;短距離
commission,n.,佣金
voice,n.,(人的)聲音
bee,n.,蜜蜂
lamb,v.,產羔羊
pet,n.,寵物
shoe,n.,鞋子
textile,n.,紡織原料;紡織品
head,n.,頭;首長
six,n.,六
cash,v.,兌現
fuel,v.,加油;加燃料
tell,v.,告訴
war,v.,"對抗;戰爭,打仗;鬥爭"
plus,adj.,外加的;有益的;正的;正電的;陽性的
break,v.,中斷;打破（記錄）;斷裂
syrup,n.,糖漿
afterwards,adv.,"之後,後來"
aboard,adv.,上船(或飛機;在船(或飛機;車);車)上
wear,v.,"穿著, 磨損, 使力竭"
contrast,v.,"使對比,使對照"
fragrance,n.,芬芳;香味
slang,n.,slang
artificial,adj.,人工的;人造的
trend,n.,"時尚;趨勢,傾向"
spend,v.,花費(錢或時間)
hunt,n.,打獵;搜尋
traffic,n.,交通
km,n.,kilometer
profitable,adj.,有利的
refreshment,n.,精力恢復;茶點
conspiracy,n.,共謀;謀叛;陰謀
hospital,n.,醫院
savage,n.,野蠻人
fate,n.,命運
navigation,n.,導航;航海;航空
fit,v.,合身;適合
compass,v.,"包圍;圖謀,計劃;理解;達到"
between,prep.,在…和…之間
caffeine,n.,咖啡因
practice,v.,練習;訓練
sheer,adj.,(紡織物)極薄的;全然的;陡峭的
contemporary,n.,同年齡的人;同時代的人;同時期的東西
feather,n.,羽毛
best,adv.,最;最好地;最適當地;極
rope,n.,粗繩
stitch,v.,編結;縫;繡
lend,v.,出借
wallet,n.,皮夾
environmental,adj.,有關環境(保護)的;環境的
free,adj.,免費的;空閒的;自由的
press,v.,"催逼;壓;壓,擠;按;熨燙;逼迫"
measure,n.,尺寸
donkey,n.,驢子
freight,v.,裝貨於;運輸(貨物)
clothes,n.,衣服
Monday,n.,星期一
title,v.,加標題於;授頭銜於
encyclopedia,n.,百科全書
hiss,v.,發出嘶嘶聲;發出噓聲
comic,n.,漫畫
lag,n.,滯後;衰退
acid,adj.,有酸味的;酸性的
before,adv.,以前;向前;在前;曾經;較早
trumpet,v.,吹喇叭
scan,n.,掃描
cartoon,v.,畫漫畫;畫草圖
feast,n.,"盛宴,筵席"
aloud,adv.,大聲地
constitute,v.,"構成,組成"
barrier,n.,路障;障礙物
dodge,n.,託詞;躲閃
shortly,adv.,"立刻,馬上;簡短地,扼要地"
feast,v.,盛宴款待
vibrate,v.,振動;震動;顫動
contest,v.,"爭辯;競爭,角逐"
nonetheless,adv.,仍然;但是
continue,v.,繼續
representative,adj.,"代表性的,典型的"
wrong,n.,"不道德;壞事;違法,犯罪;錯誤"
belt,v.,猛擊;環繞;用皮帶抽打
name,v.,列舉;給...取名
gaze,n.,"凝視,注視"
harvest,n.,收穫
experience,n.,經驗
toward,prep.,向;對
taxicab,n.,計程車
operation,n.,手術;操作
dirty,adj.,骯髒的
lure,n.,誘惑物;誘餌;魅力
knock,n.,"指摘,挑剔;擊,打;敲"
boxing,n.,拳擊;拳術;裝箱
these,adj.,這些 (this 的複數)
cross,n.,十字架
pillow,v.,枕著頭;靠
cowboy,n.,牛仔
dazzle,n.,令人讚歎的東西;耀眼的光
emigrate,v.,移居外國(或外地)
how,adv.,如何
question,v.,詢問
grave,n.,墓穴;墳墓
up,v.,增加;提高;突然站起;舉起
toilet,n.,馬桶
atomic,adj.,原子的
have,v.,已經
naked,adj.,裸體的
asleep,adj.,睡著的
seagull,n.,海鷗
heterosexual,adj.,異性戀的
pleasant,adj.,愉快的;美好的
overseas,adv.,在海外
banquet,v.,宴請
shame,n.,"羞恥(心),羞愧(感)"
lounge,n.,(旅館等的)會客廳;候機室;躺椅
cathedral,n.,大教堂
blank,n.,空白
photo,v.,在照片上顯得;拍照;給...拍照
merchant,n.,商人
insist,v.,堅持
gross,n.,總量;總額
gnaw,v.,啃;嚙;折磨
retail,adv.,以零售價格;以零售方式
snap,n.,劈啪聲;快照;活力;猛咬;突然折斷
pacific,n.,(大寫) 太平洋
render,v.,使得;使成為;提供
bunch,n.,"串,束"
whine,v.,發哀鳴聲;發牢騷
mister,n.,先生
remarkable,adj.,卓越的;非凡的
buckle,n.,帶釦;搭鉤
constant,n.,"不變的事物;常數,衡量"
barren,adj.,不妊的;荒蕪的;貧瘠的
drug,n.,毒品;藥品
underline,n.,底線
rebel,n.,反抗者;造反者
knee,v.,用膝蓋碰(撞)
coincide,v.,一致;同時發生;巧合
tedious,adj.,使人厭煩的;冗長乏味的
fur,n.,毛皮製品;軟毛
batter,v.,打壞;打爛;把...用舊;搗毀;連續猛擊
this,adj.,這
ghost,n.,鬼
cafeteria,n.,自助餐館
yacht,v.,乘遊艇;駕快艇
maximum,n.,最高極限
trout,n.,鮭鱒魚;鱒魚
mountainous,adj.,多山的;巨大的
voice,v.,"(用言語)表達,說出"
cereal,n.,麥片
commit,v.,"交付;使作出保證;做承諾;犯(罪),做(錯事等);犯(罪、過失)"
glory,v.,自豪;驕傲
affection,n.,愛慕;鍾愛
blast,n.,(一陣)疾風;爆破;突然吹奏
suburb,n.,郊區
corporation,n.,股份(有限)公司
seldom,adv.,很少地
quit,v.,放棄;離職
explore,v.,探勘;探測
hall,n.,大廳;講堂
claw,v.,用爪子抓
always,adv.,總是
embarrass,v.,使困窘
merit,n.,"優點;法律依據;長處,優點"
construction,n.,"建構;建築(物);建造;建造,建設"
fax,v.,傳真傳輸
thrust,v.,刺;插;用力推
trial,n.,審判
punish,v.,處罰
sigh,v.,"嘆氣,嘆息"
cue,n.,"暗示,信號"
emperor,n.,皇帝
dream,n.,夢
kitten,n.,小貓
historical,adj.,"歷史的,史學的"
sum,n.,"總和,總計"
solar,adj.,太陽的;日光的
pocket,v.,侵吞;忍受;擊(球)落袋
coin,v.,"創造,杜撰(新詞等);鑄造(貨幣)"
icebox,n.,冰箱;冷藏庫
fling,v.,(用力地)扔;擲
ham,n.,火腿
dismay,v.,使氣餒;使沮喪;使錯愕;使難過;使驚慌
branch,v.,出枝;分岔;分支
splash,n.,濺潑聲
focus,n.,焦點
alert,adj.,機敏的;警惕的
fog,n.,霧
characterize,v.,具有...的特徵;描繪...的特性
sun,n.,太陽
advisor,n.,adviser
tongue,n.,舌頭
defend,v.,保衛;保護;防禦
tiptoe,n.,腳趾尖
associate,n.,同事;夥伴
vary,v.,使不同;呈多樣化;變更
bog,n.,沼澤;泥塘
prolong,v.,延長;拉長;拖延
maintenance,n.,保養;維修;維持
alternative,n.,選擇的自由(或餘地)
outright,adj.,全部的;公開的;直率的
interview,n.,採訪;面談
surface,v.,"起床,露面;顯露,呈現"
severe,adj.,劇烈的;嚴重的
fast,adj.,快的
mimic,v.,模仿;與...極相似
bed,n.,床
lone,adj.,孤單的;無伴的
productive,adj.,"生產的,生產性的"
referee,n.,仲裁人;仲裁者;裁判員
irritable,adj.,急躁的;易怒的
wag,v.,搖;搖尾巴;搖擺
spelling,n.,拼字;拼寫;拼法
Wednesday,n.,星期三
favorite,n.,特別喜愛的人(或物)
rash,adj.,急躁的;輕率的
on,adv.,向前;在進行中;繼續;開著
race,n.,(生物的)種類;競賽
ribbon,n.,絲帶;緞帶
cruelty,n.,"殘酷,殘忍"
articulate,adj.,口才好的;發音清晰的
science,n.,科學
signal,n.,交通指示燈;信號;暗號
warm,v.,使暖和
fracture,n.,折斷;斷裂;破裂;裂縫;骨折
informative,adj.,教育性的;有益的
answer,n.,答案
lamp,n.,燈
rhyme,v.,押韻
dedicate,v.,奉獻;獻身於;舉行落成典禮
range,n.,多爐爐灶;等級;範圍
gas,v.,加油;吹牛;放出氣體;空談
try,n.,努力;嘗試
for,conj.,"因為,由於"
carbohydrate,n.,含醣食物;碳水化合物;醣
hormone,n.,荷爾蒙
nucleus,n.,(原子)核;核心;細胞核
moth,n.,"蛾;蠹,蛀蟲"
wire,v.,拍電報;用金屬絲縛
symmetry,n.,對稱;對稱(性)
preferable,adj.,"更可取的,更合意的"
evidence,n.,物證;證人;證據;證詞;跡象
deserve,v.,"應受,該得"
leap,n.,"跳,跳躍"
sip,v.,啜飲
siege,n.,包圍;圍城;圍攻
inside,adv.,在裡面;往裡面
overflow,n.,泛濫;溢出;過剩
agency,n.,代理;仲介
capital,n.,大寫;資本;首府;首都
chew,v.,咀嚼
jar,n.,"罐,罈"
allergic,adj.,過敏的
wake,v.,叫醒
aluminum,n.,鋁
gull,n.,"易受騙的人;鷗,海鷗"
minor,n.,副科;未成年者
biochemistry,n.,生物化學
rally,v.,召集;團結;重新振作
sniff,v.,嗅;抽鼻涕;用力吸
scissors,n.,剪刀
diamond,n.,鑽石
dependent,adj.,依賴的;依靠的
calm,v.,使鎮定;變安靜
pension,n.,退休金;養老金
out,adv.,在外地
swap,v.,交換;以...作交換
pull,n.,"拉,拖"
bureaucracy,n.,(總稱)官僚;官僚政治
email,v.,electronic mail
disguise,v.,"掩飾,隱瞞"
surgeon,n.,外科醫生
simplicity,n.,單純;簡單
sport,n.,消遣;突變;運動
spy,v.,暗中監視
ability,n.,專門技能;能力
dolphin,n.,海豚
paper,v.,"掩蓋,粉飾;用紙包"
tight,adv.,牢牢地
roar,n.,"吼,嘯;喧鬧聲;怒號"
fault,v.,挑...的毛病;產生斷層
reverse,n.,倒車檔;反向;反面;相反
increase,v.,增加
intend,v.,想要;意欲;打算
right,adj.,右邊;對的
species,n.,種;種類
too,adv.,也是;過於
inventor,n.,發明家
mechanism,n.,機械作用;機械裝置;結構
blossom,v.,發展成;開花
heap,n.,"(一)堆,堆積"
grammatical,adj.,合乎文法的;文法的
scarce,adj.,不足的;缺乏的
succeed,v.,成功
electrical,adj.,電的
keen,adj.,敏銳的;渴望的;熱心的
dancer,n.,舞蹈家;舞蹈演員
steal,v.,偷竊
interact,v.,互相作用
enlargement,n.,放大
under,adv.,"在下面,在下方;從屬地"
tolerate,v.,容許;寬恕;忍受
ugly,adj.,醜的
counselor,n.,(學生的)輔導員;律師;顧問
orange,adj.,橙色的
quake,n.,地震;搖晃;顫抖
must,n.,不可少的事物;必須做的事
pious,adj.,篤信的;虔誠的
tremble,n.,"震顫,發抖"
urgency,n.,急事;緊急;迫切
absence,n.,缺席
papaya,n.,木瓜
revision,n.,修正;修正(版);修訂;校訂;校訂(本)
comb,n.,梳子
tire,v.,疲勞
epidemic,n.,(流行病)傳播;流行;流行病
program,v.,為...安排節目;設計電腦程式
afternoon,n.,下午;午後
climb,v.,攀登;爬
sovereign,adj.,具有獨立主權的;最高統治者的
grey,v.,使成灰色
add,v.,添加
poisonous,adj.,有害的;有毒的
gathering,n.,"集會,聚集"
must,v.,必須
quarter,v.,供...住宿;把...四等分;駐紮
code,n.,代碼;法規;電碼
nine,adj.,九的
chairwoman,n.,女主席;女議長
jail,n.,拘留所;監獄
interference,n.,"干涉,干預;擾亂"
federal,adj.,聯邦(制)的
somebody,n.,有名氣的人;某人
brand,v.,印...商標於
useful,adj.,有用的
elementary,adj.,"初級的,基礎的;基本的"
team,v.,使合作;結成一隊
waterfall,n.,瀑布
mount,v.,登上;發動(攻勢);鑲嵌;騎上
dishonest,adj.,不誠實的
motive,n.,主旨;動機;目的
bait,v.,置餌於
stove,n.,爐灶
flea,n.,跳蚤
picture,v.,"描述;畫,拍攝"
virus,n.,病毒
skyscraper,n.,摩天樓
software,n.,軟體
ink,v.,用墨水寫;簽署;簽訂(合同等)
stray,v.,入歧途;分心;流浪;迷路
flight,n.,飛行
zero,n.,零
coherent,adj.,一致的;條理清楚的;連貫的
enforce,v.,"厲行;實施;實施,執行"
wholesale,adj.,批發的
development,n.,生長;發展
mathematics,n.,數學
those,adj.,那;那些的
faithful,adj.,忠實的;忠誠的
shave,n.,"修面;剃刀,刮鬍刀"
caption,v.,加標題;加標題於
confuse,v.,使迷惑
genetic,adj.,基因的;遺傳(學)的
internal,adj.,內部的
mental,adj.,"精神的,心理的"
sour,adj.,酸的
farther,adj.,"far的比較級;更遠的,再往前的"
rise,n.,"(數量,程度等)增加,上漲;上升"
laugh,n.,"笑,笑聲"
plenty,n.,充足;大量;豐富
dictator,n.,口授者;叫人聽寫的人;獨裁者
transplant,n.,移植;移植(手術);移植的器官
bald,adj.,禿頭的
Internet,n.,網際網路
reliable,adj.,可信賴的;可靠的;確實的
social,adj.,交際的;社會的
delicious,adj.,好吃的
caution,n.,小心;謹慎;警告
chop,v.,"切;砍,劈,斬"
homesick,adj.,想家的
adopt,v.,採納;接受;收養
original,n.,原版;原畫;原著
vice,n.,惡;惡習;罪行
roast,adj.,烘烤的
wool,n.,毛織品;羊毛
any,adj.,任何的
seek,v.,尋覓
hike,n.,徒步旅行
humid,adj.,潮濕的
responsible,adj.,負責任的
degree,n.,程度
fancy,adj.,特級的;花俏的
handkerchief,n.,手帕
perceive,v.,察覺;意識到;感知;理解
clerk,n.,店員;職員;辦事員
faculty,n.,(學校的)全體教員;官能
image,n.,肖像影像
wide,adv.,充分地;張得(或開得)很大地
than,prep.,比;超過
square,adj.,正方形的
bulk,n.,大塊;大多數;容積;體積
neighbor,v.,與...為鄰
pine,n.,松樹
consume,v.,"消耗,花費;耗盡"
excellence,n.,傑出;優秀;卓越
core,v.,挖去...的果核
throb,v.,(心臟;抽動;抽痛;脈搏等)跳動
sore,adj.,疼痛的
calcium,n.,鈣
hemisphere,n.,(地球的)半球;半球;半球體
terrify,v.,使害怕;使恐怖
hat,n.,帽子
sheep,n.,綿羊
punch,v.,用拳猛擊
powder,n.,粉
fool,v.,愚弄
okay,n.,同意;批准
scratch,v.,抓;搔
complex,n.,(精神分析)情緒;綜合體;複合物
complete,adj.,完整的；徹底的
blink,v.,眨眼睛;閃爍
green,n.,綠色
emotional,adj.,多愁善感的;情緒的;感情(上)的;易動情的
aircraft,n.,航空器;飛機;飛行器
colony,n.,殖民地
shaver,n.,理髮師
student,n.,學生
sturdy,adj.,健康的;堅固的;結實的
quick,adv.,"快,迅速地"
talk,v.,講話
issue,v.,發佈;發行
okay,adj.,不錯;可以;對
mar,v.,損傷;毀損;玷污
crazy,adj.,古怪的;著迷的
elsewhere,adv.,在別處;往別處
widower,n.,鰥夫
honeymoon,n.,蜜月
fold,v.,對摺;摺疊
eyelash,n.,(一根)眼毛;(一根)睫毛
barbecue,v.,"(在戶外)烤,炙(肉類)"
venture,v.,冒險;大膽提出;大膽行事
fierce,adj.,兇猛的;殘酷的
glide,v.,"滑動,滑行"
particular,adj.,;特殊的
eclipse,n.,(日、月)蝕;蝕;被遮蔽;黯然失色
album,n.,唱片集;相簿;集郵簿
partial,adj.,"不完全的;部分的,局部的"
giggle,v.,傻笑;咯咯地笑
while,conj.,當...的時候
rod,n.,"棒,桿,竿"
chirp,n.,唧唧聲;啁啾聲
floor,v.,使大為震驚;在...鋪設地板
applaud,v.,向...鼓掌;稱讚
menu,n.,菜單
mop,n.,拖把
stripe,n.,斑紋;條紋;線條
economics,n.,經濟學
intimate,n.,"至交,密友"
